District,School,num.outlets,outletsUnder15,outletsOver15,oos,BEDS,School Street ,School City,School State,percent.bad
SYRACUSE CITY SCHOOLS,GEORGE FOWLER H S,118,,,No,421800010049,227 MAGNOLIA ST,SYRACUSE,NY,0.0
SKANEATELES CENTRAL SCHOOL,WATERMAN ELEM SCHOOL,68,68,27,Yes,421601060003,EAST ST,SKANEATELES,NY,39.7
WEST GENESEE CSD AT CAMILLUS,ONONDAGA ROAD ELEM SCHOOL,86,90,1,Yes,420101060005,703 ONONDAGA RD,SYRACUSE,NY,1.2
SYRACUSE CITY SCHOOLS,WEBSTER SCHOOL,51,51,0,No,421800010043,500 WADSWORTH ST,SYRACUSE,NY,0.0
WESTHILL CENTRAL SCHOOL,WESTHILL S H S,124,113,10,Yes,420701060001,4501 ONONDAGA BLVD,SYRACUSE,NY,8.1
SYRACUSE CITY SCHOOLS,H W SMITH ELEM SCHOOL,132,129,3,Yes,421800010031,1130 SALT SPRINGS RD,SYRACUSE,NY,2.3
SYRACUSE CITY SCHOOLS,PORTER MAGNET SCHOOL,69,57,12,Yes,421800010027,512 EMERSON AVE,SYRACUSE,NY,17.4
SYRACUSE CITY SCHOOLS,LEMOYNE SCHOOL,61,60,1,Yes,421800010012,1528 LEMOYNE AVE,SYRACUSE,NY,1.6
SYRACUSE CITY SCHOOLS,FORMER T. AARON LEVY MS (LEAD ONLY),70,,,No,421800010036,111 FELLOWS AVE.,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,MCCARTHY AT BEARD,24,22,2,Yes,421800010053,220 W KENNEDY ST,SYRACUSE,NY,8.3
WESTHILL CENTRAL SCHOOL,WALBERTA PARK PRIMARY SCHOOL,78,72,6,Yes,420701060003,400 WALBERTA RD,SYRACUSE,NY,7.7
SYRACUSE CITY SCHOOLS,THE EXPEDITIONARY LEARNING SCHOOL,38,34,4,Yes,421800010058,4942 SOUTH SALINA STREET,SYRACUSE,NY,10.5
SYRACUSE CITY SCHOOLS,SEYMOUR SCHOOL,57,56,1,Yes,421800010028,108 SHONNARD ST,SYRACUSE,NY,1.8
