School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,"All Results Received	",Date All Results Received,"School Website	",BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
FABIUS-POMPEY CENTRAL SCHOOL,FABIUS JSHS,Onondaga,Public School,,No,,,,,No,,61,12,Yes,Yes,12/28/2016,,420601040003.00,MILL ST,FABIUS,NY,13063,,1/3/2017,"(43.065629, -76.168033)","MILL ST FABIUS, NY 13063
(42.835258758000066, -75.98407570499995)"
WESTHILL CENTRAL SCHOOL,WESTHILL S H S,Onondaga,Public School,124,No,7,0,0,124,Yes,10/20/2016,113,10,Yes,Yes,1/3/2017,http://westhillschools.org,420701060001.00,4501 ONONDAGA BLVD,SYRACUSE,NY,13219,11/1/2016,1/4/2017,"(43.065629, -76.168033)","4501 ONONDAGA BLVD
SYRACUSE, NY 13219
(43.02932607100007, -76.20118097699998)"
WESTHILL CENTRAL SCHOOL,CHERRY ROAD ELEM SCHOOL,Onondaga,Public School,104,No,6,0,0,104,Yes,9/22/2016,95,9,Yes,Yes,12/12/2016,http://westhillschools.org,420701060002.00,201 CHERRY RD,SYRACUSE,NY,13219,11/1/2016,1/10/2017,"(43.065629, -76.168033)","201 CHERRY RD
SYRACUSE, NY 13219
(43.042952325000044, -76.21155306099996)"
WESTHILL CENTRAL SCHOOL,WALBERTA PARK PRIMARY SCHOOL,Onondaga,Public School,78,No,5,0,0,78,Yes,9/22/2016,72,6,Yes,Yes,12/7/2016,http://westhillschools.org,420701060003.00,400 WALBERTA RD,SYRACUSE,NY,13219,11/1/2016,12/9/2016,"(43.065629, -76.168033)","400 WALBERTA RD
SYRACUSE, NY 13219
(43.040507036000065, -76.22282843499994)"
WESTHILL CENTRAL SCHOOL,ONONDAGA HILL MIDDLE SCHOOL,Onondaga,Public School,111,No,7,0,0,111,Yes,9/28/2016,108,3,Yes,Yes,1/7/2017,http://westhillschools.org,420701060004.00,4860 ONONDAGA RD,SYRACUSE,NY,13215,11/1/2016,1/10/2017,"(43.065629, -76.168033)","4860 ONONDAGA RD
SYRACUSE, NY 13215
(43.007186758000046, -76.18303245099997)"
SOLVAY UNION FREE SCHOOL,SOLVAY ELEM SCHOOL,Onondaga,Public School,78,No,68,0,0,10,Yes,9/29/2016,76,2,Yes,Yes,11/16/2016,http://www.solvayschools.org,420702030001.00,701 WOODS RD,SOLVAY,NY,13209,1/3/2017,1/3/2017,"(43.065629, -76.168033)","701 WOODS RD
SOLVAY, NY 13209
(43.05801218700003, -76.20843992099998)"
SOLVAY UNION FREE SCHOOL,SOLVAY H S,Onondaga,Public School,41,No,19,0,0,22,Yes,10/25/2016,47,0,Yes,Yes,12/20/2016,http://www.solvayschools.org,420702030004.00,600 GERTRUDE AVE,SOLVAY,NY,13209,11/14/2016,1/3/2017,"(43.065629, -76.168033)","600 GERTRUDE AVE
SOLVAY, NY 13209
(43.058859107000046, -76.21546272299997)"
SOLVAY UNION FREE SCHOOL,SOLVAY MIDDLE SCHOOL,Onondaga,Public School,53,No,31,0,0,22,Yes,9/29/2016,53,0,Yes,Yes,11/15/2016,http://www.solvayschools.org,420702030007.00,299 BURY DRIVE,SYRACUSE,NY,13209,1/3/2017,1/3/2017,"(43.065629, -76.168033)","299 BURY DRIVE
SYRACUSE, NY 13209
(43.093885415000045, -76.24887096099997)"
LA FAYETTE CENTRAL SCHOOL,ONONDAGA NATION SCH,Onondaga,Public School,50,No,0,0,0,50,Yes,9/24/2016,53,0,No,Yes,1/11/2017,http://www.lafayetteschools.org,420807040002.00,RD 1-BOX 270,NEDROW,NY,13120,10/12/2016,1/25/2017,"(43.065629, -76.168033)","270 NEDROW
NY 13120
(42.973624200000074, -76.14125069299996)"
LA FAYETTE CENTRAL SCHOOL,LA FAYETTE S H S,Onondaga,Public School,170,No,0,0,0,170,Yes,10/1/2016,111,10,Yes,Yes,1/11/2017,http://www.lafayetteschools.org,420807040003.00,RT 11 N,LAFAYETTE,NY,13084,10/12/2016,1/18/2017,"(43.065629, -76.168033)","11 N LAFAYETTE
NY 13084
(42.91300926800005, -76.11519869699998)"
