sw,tier,Gender,Ethnicity,IEP,ELL,enrolled15,absences15,presences15,enrolled16,absences16,presences16
3,High,Female,Hispanic,No,0,665,63,602,622,41,581
3,High,Female,Hispanic,No,1,418,71,347,431,30,401
3,High,Female,Hispanic,Yes,0,120,31,89,95,11,84
3,High,Female,Hispanic,Yes,1,110,20,90,90,8,82
3,High,Female,Other,No,0,408,44,364,379,23,356
3,High,Female,Other,No,1,971,81,890,935,46,889
3,High,Female,Other,Yes,0,60,6,54,50,7,43
3,High,Female,Other,Yes,1,20,2,18,25,1,24
3,High,Female,White,No,0,1901,154,1747,1860,123,1737
3,High,Female,White,No,1,225,24,201,228,8,220
3,High,Female,White,Yes,0,511,60,451,402,36,366
3,High,Male,Black,No,0,3626,279,3347,3204,183,3021
3,High,Male,Black,No,1,651,37,614,648,11,637
3,High,Male,Black,Yes,0,1473,152,1321,1385,138,1247
3,High,Male,Black,Yes,1,70,13,57,74,0,74
3,High,Male,Hispanic,No,0,461,45,416,375,31,344
3,High,Male,Hispanic,No,1,488,77,411,466,39,427
3,High,Male,Hispanic,Yes,0,168,38,130,133,9,124
3,High,Male,Hispanic,Yes,1,200,34,166,198,26,172
3,High,Male,Other,No,0,290,17,273,330,22,308
3,High,Male,Other,No,1,1008,92,916,955,55,900
3,High,Male,Other,Yes,0,152,13,139,137,11,126
3,High,Male,Other,Yes,1,30,1,29,40,0,40
3,High,Male,White,No,0,1485,121,1364,1504,106,1398
3,High,Male,White,No,1,265,28,237,236,19,217
3,High,Male,White,Yes,0,659,82,577,553,52,501
3,High,Male,White,Yes,1,10,0,10,5,0,5
3,Middle,Female,Black,No,0,2545,80,2465,3215,91,3124
3,Middle,Female,Black,No,1,398,3,395,525,14,511
3,Middle,Female,Black,Yes,0,455,16,439,536,32,504
3,Middle,Female,Black,Yes,1,30,8,22,55,0,55
3,Middle,Female,Hispanic,No,0,408,15,393,507,21,486
3,Middle,Female,Hispanic,No,1,224,12,212,245,8,237
3,Middle,Female,Hispanic,Yes,0,60,0,60,95,13,82
3,Middle,Female,Hispanic,Yes,1,50,3,47,80,5,75
3,Middle,Female,Other,No,0,347,16,331,360,17,343
3,Middle,Female,Other,No,1,527,8,519,610,15,595
3,Middle,Female,Other,Yes,0,75,7,68,65,5,60
3,Middle,Female,Other,Yes,1,10,0,10,5,0,5
3,Middle,Female,White,No,0,1505,91,1414,1519,83,1436
3,Middle,Female,White,No,1,154,6,148,165,3,162
3,Middle,Female,White,Yes,0,309,28,281,350,10,340
3,Middle,Female,White,Yes,1,10,4,6,10,0,10
3,Middle,Male,Black,No,0,2236,71,2165,2945,71,2874
3,Middle,Male,Black,No,1,366,17,349,525,14,511
3,Middle,Male,Black,Yes,0,1081,44,1037,1262,45,1217
3,Middle,Male,Black,Yes,1,70,0,70,56,0,56
3,Middle,Male,Hispanic,No,0,314,27,287,486,21,465
3,Middle,Male,Hispanic,No,1,205,7,198,174,2,172
3,Middle,Male,Hispanic,Yes,0,182,15,167,206,14,192
3,Middle,Male,Hispanic,Yes,1,74,14,60,140,14,126
3,Middle,Male,Other,No,0,343,32,311,405,29,376
3,Middle,Male,Other,No,1,575,19,556,605,9,596
3,Middle,Male,Other,Yes,0,95,2,93,95,5,90
3,Middle,Male,Other,Yes,1,55,0,55,70,4,66
3,Middle,Male,White,No,0,1511,77,1434,1443,56,1387
3,Middle,Male,White,No,1,161,12,149,225,7,218
3,Middle,Male,White,Yes,0,593,31,562,793,44,749
3,Middle,Male,White,Yes,1,15,0,15,5,0,5
3,Other,Female,Black,No,0,2457,256,2201,2730,203,2527
3,Other,Female,Black,No,1,139,9,130,130,14,116
3,Other,Female,Black,Yes,0,356,43,313,363,27,336
3,Other,Female,Black,Yes,1,10,1,9,10,1,9
3,Other,Female,Hispanic,No,0,814,120,694,833,81,752
3,Other,Female,Hispanic,No,1,939,93,846,926,87,839
3,Other,Female,Hispanic,Yes,0,86,8,78,105,14,91
3,Other,Female,Hispanic,Yes,1,210,29,181,201,31,170
3,Other,Female,Other,No,0,298,38,260,403,33,370
3,Other,Female,Other,No,1,183,2,181,205,3,202
3,Other,Female,Other,Yes,0,48,4,44,55,4,51
3,Other,Female,Other,Yes,1,10,0,10,10,0,10
3,Other,Female,White,No,0,734,77,657,869,94,775
3,Other,Female,White,No,1,55,5,50,65,5,60
3,Other,Female,White,Yes,0,150,4,146,218,32,186
3,Other,Female,White,Yes,1,10,1,9,10,2,8
3,Other,Male,Black,No,0,2316,193,2123,2677,230,2447
3,Other,Male,Black,No,1,128,7,121,175,12,163
3,Other,Male,Black,Yes,0,889,88,801,896,99,797
3,Other,Male,Black,Yes,1,20,1,19,30,1,29
3,Other,Male,Hispanic,No,0,703,94,609,692,54,638
3,Other,Male,Hispanic,No,1,945,123,822,919,94,825
3,Other,Male,Hispanic,Yes,0,267,39,228,287,35,252
3,Other,Male,Hispanic,Yes,1,529,46,483,528,65,463
3,Other,Male,Other,No,0,251,27,224,374,28,346
3,Other,Male,Other,No,1,180,6,174,175,8,167
3,Other,Male,Other,Yes,0,131,9,122,141,9,132
3,Other,Male,White,No,0,855,99,756,927,76,851
3,Other,Male,White,No,1,35,4,31,50,12,38
3,Other,Male,White,Yes,0,463,35,428,493,68,425
3,Other,Male,White,Yes,1,20,2,18,35,6,29
4,Elementary,Female,Black,No,0,8127,532,7595,7753,589,7164
4,Elementary,Female,Black,No,1,1048,62,986,1172,224,948
4,Elementary,Female,Black,Yes,0,1506,125,1381,1400,110,1290
4,Elementary,Female,Black,Yes,1,50,3,47,35,6,29
4,Elementary,Female,Hispanic,No,0,1311,128,1183,1304,129,1175
4,Elementary,Female,Hispanic,No,1,380,37,343,312,24,288
4,Elementary,Female,Hispanic,Yes,0,265,33,232,253,26,227
4,Elementary,Female,Hispanic,Yes,1,130,10,120,135,15,120
4,Elementary,Female,Other,No,0,1939,169,1770,2130,192,1938
4,Elementary,Female,Other,No,1,1381,98,1283,1402,110,1292
4,Elementary,Female,Other,Yes,0,323,29,294,358,35,323
4,Elementary,Female,Other,Yes,1,46,4,42,65,6,59
4,Elementary,Female,White,No,0,4157,332,3825,3885,314,3571
4,Elementary,Female,White,No,1,421,36,385,440,104,336
4,Elementary,Female,White,Yes,0,1131,103,1028,1012,91,921
4,Elementary,Female,White,Yes,1,25,1,24,20,4,16
4,Elementary,Male,Black,No,0,7433,493,6940,7129,536,6593
4,Elementary,Male,Black,No,1,1059,71,988,1096,205,891
4,Elementary,Male,Black,Yes,0,3146,285,2861,3171,183,2988
4,Elementary,Male,Black,Yes,1,159,11,148,140,22,118
4,Elementary,Male,Hispanic,No,0,1226,75,1151,1252,112,1140
4,Elementary,Male,Hispanic,No,1,392,26,366,390,40,350
4,Elementary,Male,Hispanic,Yes,0,452,47,405,494,65,429
4,Elementary,Male,Hispanic,Yes,1,175,24,151,148,16,132
4,Elementary,Male,Other,No,0,1775,164,1611,1958,162,1796
4,Elementary,Male,Other,No,1,1585,102,1483,1704,137,1567
4,Elementary,Male,Other,Yes,0,610,64,546,691,67,624
4,Elementary,Male,Other,Yes,1,103,7,96,95,18,77
4,Elementary,Male,White,No,0,3468,249,3219,3255,303,2952
4,Elementary,Male,White,No,1,453,34,419,515,147,368
4,Elementary,Male,White,Yes,0,2060,193,1867,1837,121,1716
4,Elementary,Male,White,Yes,1,45,4,41,55,9,46
4,High,Female,Black,No,0,4090,314,3776,4046,269,3777
4,High,Female,Black,No,1,617,37,580,673,71,602
4,High,Female,Black,Yes,0,864,68,796,859,74,785
4,High,Female,Black,Yes,1,65,3,62,70,10,60
4,High,Female,Hispanic,No,0,676,58,618,635,56,579
4,High,Female,Hispanic,No,1,414,68,346,439,42,397
4,High,Female,Hispanic,Yes,0,110,25,85,95,11,84
4,High,Female,Hispanic,Yes,1,115,30,85,90,8,82
4,High,Female,Other,No,0,405,33,372,383,25,358
4,High,Female,Other,No,1,979,82,897,943,72,871
4,High,Female,Other,Yes,0,62,6,56,53,11,42
4,High,Female,Other,Yes,1,17,1,16,25,2,23
4,High,Female,White,No,0,1920,175,1745,1865,168,1697
4,High,Female,White,No,1,221,30,191,230,37,193
4,High,Female,White,Yes,0,518,74,444,408,46,362
4,High,Male,Black,No,0,3646,273,3373,3218,209,3009
4,High,Male,Black,No,1,652,39,613,671,51,620
4,High,Male,Black,Yes,0,1493,163,1330,1407,169,1238
4,High,Male,Black,Yes,1,70,16,54,75,6,69
4,High,Male,Hispanic,No,0,470,52,418,373,30,343
4,High,Male,Hispanic,No,1,488,68,420,465,49,416
4,High,Male,Hispanic,Yes,0,157,23,134,140,16,124
4,High,Male,Hispanic,Yes,1,198,32,166,208,28,180
4,High,Male,Other,No,0,294,20,274,326,20,306
4,High,Male,Other,No,1,1012,91,921,964,59,905
4,High,Male,Other,Yes,0,151,16,135,135,9,126
4,High,Male,Other,Yes,1,30,0,30,40,1,39
4,High,Male,White,No,0,1505,97,1408,1527,119,1408
4,High,Male,White,No,1,265,33,232,240,39,201
4,High,Male,White,Yes,0,650,79,571,553,57,496
4,High,Male,White,Yes,1,10,0,10,5,0,5
4,Middle,Female,Black,No,0,2543,88,2455,3202,102,3100
4,Middle,Female,Black,No,1,385,5,380,525,44,481
4,Middle,Female,Black,Yes,0,447,20,427,534,29,505
4,Middle,Female,Black,Yes,1,32,5,27,55,4,51
4,Middle,Female,Hispanic,No,0,405,20,385,502,17,485
4,Middle,Female,Hispanic,No,1,220,9,211,245,1,244
4,Middle,Female,Hispanic,Yes,0,60,3,57,95,7,88
4,Middle,Female,Hispanic,Yes,1,50,3,47,80,6,74
4,Middle,Female,Other,No,0,345,14,331,360,19,341
4,Middle,Female,Other,No,1,530,5,525,610,16,594
4,Middle,Female,Other,Yes,0,75,6,69,65,8,57
4,Middle,Female,Other,Yes,1,10,0,10,5,0,5
4,Middle,Female,White,No,0,1481,57,1424,1523,54,1469
4,Middle,Female,White,No,1,150,1,149,165,28,137
4,Middle,Female,White,Yes,0,308,16,292,350,7,343
4,Middle,Female,White,Yes,1,10,5,5,10,1,9
4,Middle,Male,Black,No,0,2260,65,2195,2938,80,2858
4,Middle,Male,Black,No,1,353,19,334,530,42,488
4,Middle,Male,Black,Yes,0,1084,28,1056,1275,65,1210
4,Middle,Male,Black,Yes,1,70,2,68,55,3,52
4,Middle,Male,Hispanic,No,0,305,15,290,484,29,455
4,Middle,Male,Hispanic,No,1,205,6,199,181,8,173
