School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
AUBURN CITY SCHOOLS,HERMAN AVENUE ES,Cayuga,Public School,70,No,70,0,0,0,Yes,07/08/2016,68,2,Yes,Yes,07/08/2016,http://district.auburn.cnyric.org,050100010005,2 NORTH HERMAN AVE,AUBURN,NY,13021,10/26/2016,10/26/2016,"(42.940095, -76.560755)","2 NORTH HERMAN AVE
AUBURN, NY 13021
(42.93536074200006, -76.54406351499995)"
ALLEGANY-LIMESTONE CSD,ALLEGANY LIMESTONE ES,Cattaraugus,Public School,85,No,0,0,0,85,Yes,09/21/2016,85,0,Yes,Yes,10/04/2016,http://alcsny.org,040302060002,120 MAPLE AVE,ALLEGANY,NY,14706,11/10/2016,11/30/2016,"(42.224267, -78.606673)","120 MAPLE AVE
ALLEGANY, NY 14706
(42.09567042800006, -78.49305560299996)"
DANSVILLE CENTRAL SCHOOL,DANSVILLE SENIOR HS,Livingston,Public School,18,No,1,0,0,17,Yes,10/25/2016,18,0,Yes,Yes,11/11/2016,http://www.dansvillecsd.org,241001060003,282 MAIN ST,DANSVILLE,NY,14437,12/28/2016,12/21/2016,"(42.763754, -77.765392)","282 MAIN ST
DANSVILLE, NY 14437
(42.56838198000003, -77.70324975199998)"
BRASHER FALLS CENT SCH DIST,ST LAWRENCE MIDDLE SCHOOL,Saint Lawrence,Public School,20,No,0,0,0,20,Yes,09/14/2016,,,No,No,,http://www.bfcsd.org/SLMiddle.cfm,510101040001,1039 STATE HGWY 11C,BRASHER FALLS,NY,13613,10/18/2016,,"(44.689468, -75.242045)","1039 STATE HGWY 11C BRASHER FALLS
NY 13613
(44.80317049000007, -74.76602667099996)"
GLEN COVE CITY SCHOOLS,GLEN COVE H S,Nassau,Public School,94,No,26,0,0,65,Yes,10/31/2016,71,23,Yes,Yes,11/05/2016,http://www.glencove.k12.ny.us/NewsAssets/39959/Important_Message_from_the_Superintendent_-_Water_Testing.pdf,280100010007,150 DOSORIS LN,GLEN COVE,NY,11542,11/11/2016,11/11/2016,"(40.715749, -73.601185)","150 DOSORIS LN GLEN COVE
NY 11542
(40.880454419000046, -73.63004155599998)"
CORNWALL CENTRAL SCHOOL DISTRICT,CORNWALL ELEM SCHOOL,Orange,Public School,91,No,0,0,0,91,Yes,09/27/2016,75,16,Yes,Yes,11/07/2016,http://www.cornwallschools.com,440301060004,LEE RD,CORNWALL,NY,12518,11/16/2016,11/16/2016,"(41.422459, -74.241929)","LEE RD CORNWALL, NY 12518
(41.43676738400006, -74.03946501199994)"
CARMEL CENTRAL SCHOOL,CARMEL H S,Putnam,Public School,387,No,0,0,0,387,Yes,10/08/2016,,,No,No,,http://www.carmelschools.org,480102060005,30 FAIR ST,CARMEL,NY,10512,10/25/2016,,"(41.41131, -73.717443)","30 FAIR ST
CARMEL, NY 10512
(41.42795849700008, -73.67671885499993)"
COMMACK UNION FREE SCHOOL,COMMACK MIDDLE SCHOOL,Suffolk,Public School,436,No,98,0,0,304,Yes,10/29/2016,436,0,Yes,Yes,05/13/2016,http://www.commackschools.org/default.aspx,580410030019,VANDERBILT PKY,COMMACK,NY,11725,11/11/2016,11/11/2016,"(40.820237, -73.119032)","VANDERBILT PKY COMMACK, NY 11725
(40.839523523000025, -73.30037078499998)"
EDGEMONT UFS GREENBURGH,GREENVILLE SCHOOL,Westchester,Public School,92,No,10,0,0,82,Yes,10/25/2016,84,10,Yes,Yes,11/13/2016,http://www.edgemont.org,660406030001,100 GLENDALE RD,SCARSDALE,NY,10583,10/25/2016,11/14/2016,"(41.039278, -73.805386)","100 GLENDALE RD
SCARSDALE, NY 10583
(40.99932772600005, -73.82582576599998)"
ALBANY CITY SCHOOL DISTRICT,P S 19,Albany,Public School,54,No,0,0,0,54,Yes,09/24/2016,54,0,No,Yes,11/09/2016,http://www.albanyschools.com/,010100010019,369 NEW SCOTLAND AVENUE,ALBANY,NY,12208,11/16/2016,11/16/2016,"(42.678066, -73.814233)","369 NEW SCOTLAND AVENUE
ALBANY, NY 12208
(42.65363609000008, -73.79220343299994)"
GLOVERSVILLE ENLARGED SCHOOL DISTRICT,BOULEVARD SCHOOL,Fulton,Public School,68,No,0,0,0,68,Yes,09/15/2016,66,2,Yes,Yes,10/01/2016,http://www.gesdk12.org,170500010004,56 EAST BLVD,GLOVERSVILLE,NY,12078,11/09/2016,11/09/2016,"(43.06014, -74.331296)","56 EAST BLVD
GLOVERSVILLE, NY 12078
(43.05518576700007, -74.32813448599995)"
GATES CHILI CENTRAL SCHOOL,GATES-CHILI MIDDLE SCHOOL,Monroe,Public School,43,No,43,0,0,0,Yes,04/13/2016,43,12,Yes,Yes,04/22/2016,http://gateschili.org,260401060004,910 WEGMAN ROAD,ROCHESTER,NY,14624,12/02/2016,11/19/2016,"(43.161748, -77.620143)","910 WEGMAN ROAD
ROCHESTER, NY 14624
(43.15297987400004, -77.71134320599998)"
GREAT NECK UNION FREE SCHOOL,E M BAKER SCHOOL,Nassau,Public School,50,No,50,0,0,0,Yes,05/27/2016,50,0,Yes,Yes,09/21/2016,http://www.greatneck.k12.ny.us,280407030006,69 BAKER HILL RD,GREAT NECK,NY,11023,11/09/2016,11/10/2016,"(40.715749, -73.601185)","69 BAKER HILL RD GREAT NECK
NY 11023
(40.80076636900003, -73.72767198299994)"
EAST IRONDEQUOIT CENTRAL SCHOOL,EASTRIDGE S H S,Monroe,Public School,276,No,251,0,0,0,Yes,04/25/2016,251,25,Yes,Yes,04/25/2016,http://www.eastiron.org/schools/,260801060006,2350 RIDGE RD E,ROCHESTER,NY,14622,11/14/2016,11/14/2016,"(43.161748, -77.620143)","2350 RIDGE RD E
ROCHESTER, NY 14622
(43.20450349600003, -77.55450110299995)"
EDEN CENTRAL SCHOOL,GROVER L PRIESS PRIMARY SCHOOL,Erie,Public School,112,No,0,0,0,112,Yes,10/07/2016,97,13,Yes,Yes,11/10/2016,http://www.edencsd.org,141201060002,3000 SCHOOLVIEW ROAD,EDEN,NY,14057,11/04/2016,11/15/2016,"(42.888143, -78.795544)","3000 SCHOOLVIEW ROAD
EDEN, NY 14057
(42.65999640700005, -78.88514056099996)"
