"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"43","LA FAYETTE S H S",420807040003,"LA FAYETTE CENTRAL SCHOOL","Onondaga",170,"No","Yes","10/1/2016",111,10,"Yes","RT 11 N","LAFAYETTE","NY","RT 11 N, LAFAYETTE, NY","La Fayette Junior-senior High School","Elementary/Middle"
"44","LA FAYETTE S H S",420807040003,"LA FAYETTE CENTRAL SCHOOL","Onondaga",170,"No","Yes","10/1/2016",111,10,"Yes","RT 11 N","LAFAYETTE","NY","RT 11 N, LAFAYETTE, NY","La Fayette Junior-senior High School","High School"
"45","C GRANT GRIMSHAW SCHOOL",420807040004,"LA FAYETTE CENTRAL SCHOOL","Onondaga",92,"No","Yes","9/24/2016",92,0,"Yes","RT 20 W","LAFAYETTE","NY","RT 20 W, LAFAYETTE, NY","C Grant Grimshaw School","Elementary/Middle"
"46","CATHERINE M MCNAMARA ELEM SCH",420901060003,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",46,"No","Yes","9/28/2016",46,0,"No","OBRIEN RD","BALDWINSVILLE","NY","OBRIEN RD, BALDWINSVILLE, NY","Catherine M Mcnamara Elementary School","Elementary/Middle"
"47","L PEARL PALMER ELEM SCHOOL",420901060004,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",53,"No","Yes","9/27/2016",53,0,"No","HICKS RD","BALDWINSVILLE","NY","HICKS RD, BALDWINSVILLE, NY","L Pearl Palmer Elementary School","Elementary/Middle"
"48","VAN BUREN SCHOOL",420901060005,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",49,"No","Yes","9/29/2016",33,16,"Yes","FORD ST","BALDWINSVILLE","NY","FORD ST, BALDWINSVILLE, NY","Van Buren Elementary School","Elementary/Middle"
"49","THEODORE R DURGEE J H S",420901060006,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",50,"No","Yes","10/27/2016",48,2,"Yes","29 E ONEIDA ST","BALDWINSVILLE","NY","29 E ONEIDA ST, BALDWINSVILLE, NY","Theodore R Durgee Junior High School","Elementary/Middle"
"50","CHARLES W BAKER H S",420901060007,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",69,"No","Yes","10/20/2016",69,0,"Yes","OSWEGO ST","BALDWINSVILLE","NY","OSWEGO ST, BALDWINSVILLE, NY","Charles W Baker High School","High School"
"51","MAE E REYNOLDS SCHOOL",420901060008,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",34,"No","Yes","9/28/2016",31,3,"Yes","IDLEWOOD BLVD","BALDWINSVILLE","NY","IDLEWOOD BLVD, BALDWINSVILLE, NY","Mae E Reynolds School","Elementary/Middle"
"52","DONALD S. RAY MIDDLE SCHOOL",420901060009,"BALDWINSVILLE CENTRAL SCHOOL","Onondaga",24,"No","Yes","10/27/2016",23,1,"Yes","7650 VAN BUREN RD","BALDWINSVILLE","NY","7650 VAN BUREN RD, BALDWINSVILLE, NY","Donald S Ray School","Elementary/Middle"
"53","FAYETTEVILLE ELEM SCHOOL",421001060001,"FAYVILL-MANLIUS CENT SCH","Onondaga",93,"No","Yes","9/27/2016",93,0,"Yes","704 S. MANLIUS ST","FAYETTEVILLE","NY","704 S. MANLIUS ST, FAYETTEVILLE, NY","Fayetteville Elementary School","Elementary/Middle"
"54","FAYETTEVILLE MANLIUS S H S",421001060002,"FAYVILL-MANLIUS CENT SCH","Onondaga",302,"No","Yes","10/28/2016",177,23,"Yes","8201 E. SENECA TPK.","MANLIUS","NY","8201 E. SENECA TPK., MANLIUS, NY","Fayetteville-manlius Senior High School","High School"
"55","EAGLE HILL MIDDLE SCHOOL",421001060005,"FAYVILL-MANLIUS CENT SCH","Onondaga",150,"No","Yes","10/24/2016",84,17,"Yes","4645 ENDERS RD","MANLIUS","NY","4645 ENDERS RD, MANLIUS, NY","Eagle Hill Middle School","Elementary/Middle"
"56","WELLWOOD MIDDLE SCHOOL",421001060006,"FAYVILL-MANLIUS CENT SCH","Onondaga",148,"No","Yes","10/19/2016",138,10,"Yes","700 SOUTH MANLIUS ST","FAYETTEVILLE","NY","700 SOUTH MANLIUS ST, FAYETTEVILLE, NY","Wellwood Middle School","Elementary/Middle"
"57","MOTT ROAD ELEM SCHOOL",421001060007,"FAYVILL-MANLIUS CENT SCH","Onondaga",108,"No","Yes","9/15/2016",103,5,"Yes","7173 MOTT RD","FAYETTVILLE","NY","7173 MOTT RD, FAYETTVILLE, NY","Mott Road Elementary School","Elementary/Middle"
"58","ENDERS ROAD ELEM SCHOOL",421001060008,"FAYVILL-MANLIUS CENT SCH","Onondaga",101,"No","Yes","9/9/2016",101,0,"Yes","4725 ENDERS RD","MANLIUS","NY","4725 ENDERS RD, MANLIUS, NY","Enders Road Elementary School","Elementary/Middle"
